Topic 1 : ['Libyan', 'SENSITIVE', '2015', 'DEPT', 'INFORMATION']
Topic 2 : ['2015', '05', 'U', 'INFORMATION', 'SELECT']
Topic 3 : ['2015', '04841', 'Libyan', 'Qaddafi', '13']
Topic 4 : ['2015', '13', 'HOUSE', 'U', 'memo']
Topic 5 : ['2015', 'WAIVER', 'Qaddafi', '13', 'flight']
Topic 6 : ['2015', 'Qaddafi', '13', 'DEPT', 'HOUSE']
Topic 7 : ['12', 'Libya', 'Wednesday', '2012', 'September']
Topic 8 : ['Libyan', 'troops', '2015', '05', 'rebels']
Topic 9 : ['2015', 'F', 'U', 'REDACTIONS', 'Doc']
Topic 10 : ['FYI', '05', '2015', 'U', 'FOIA']
Topic 11 : ['aiding', 'H', 'docx', 'libya', 'March']
