Topic 1 : ['2012', 'september', 'reax', '13,']
Topic 2 : ['libyan', 'no.', 'embassy', 'fyi']
Topic 3 : ['follow', 'no.', 'u.s.', 'flag']
Topic 4 : ['no.', '05/13/2015', 'doc', 'date:']
Topic 5 : ['no.', 'produced', 'dept.', 'libya']
Topic 6 : ['libyan', 'no.', 'waiver.', 'print.']
Topic 7 : ['no.', 'u.s.', 'sensitive', 'benghazi']
Topic 8 : ['libya', 'libyan', 'b6', 'no.']
Topic 9 : ['no.', 'colonel', 'no-flight', 'support']
Topic 10 : ['libya', 'no-flight', 'no.', 'arab']
Topic 11 : ['libyan', 'troops', 'no.', 'rebel']
Topic 12 : ['syria', 'aiding', 'libya', 'march']
