Topic 1 : ['no.', 'information', '12,', '2012']
Topic 2 : ['2012', 'september', '—', 'b6']
Topic 3 : ['no.', 'sensitive', 'libyan', 'benghazi']
Topic 4 : ['no.', 'u.s.', 'redactions.', 'sensitive']
Topic 5 : ['no.', 'dept.', 'house', 'redactions.']
Topic 6 : ['note', 'sensitive', 'libyan', 'no.']
Topic 7 : ['no.', 'produced', 'no-flight', 'doc']
Topic 8 : ['libya', 'no.', 'sensitive', 'libyan']
Topic 9 : ['libyan', 'no.', 'troops', 'rebel']
Topic 10 : ['libya', 'aiding', 'syria', 'fw:']
Topic 11 : ['no.', '&', 'doc', 'agreement']
Topic 12 : ['fyi', 'no.', 'agreement', 'produced']
Topic 13 : ['no.', 'comm.', 'embassy', 'sensitive']
