Topic 1 : ['Pis', 'print', 'Libyan', 'troops', 'French']
Topic 2 : ['2015', 'REDACTIONS', 'Libyan', 'U', 'AGREEMENT']
Topic 3 : ['flight', '2015', 'Qaddafi', 'zone', 'Colonel']
Topic 4 : ['2015', 'flight', 'Follow', 'zone', 'Flag']
Topic 5 : ['2015', 'U', '13', 'PRODUCED', 'Libyan']
Topic 6 : ['2015', 'Libyan', 'Doc', 'PRODUCED', 'U']
Topic 7 : ['embassy', 'Yemen', 'Arab', 'flight', 'Qaddafi']
Topic 8 : ['Libyan', '2015', 'troops', 'rebels', 'rebel']
Topic 9 : ['2015', 'Libyan', 'REDACTIONS', '12', 'HOUSE']
Topic 10 : ['2015', 'INFORMATION', 'COMM', 'troops', 'Libyan']
Topic 11 : ['12', 'docx', 'libya', 'September', '2012']
Topic 12 : ['2015', '04841', 'Libya', '12', 'REDACTIONS']
Topic 13 : ['Fyi', 'B6', 'FYI', 'H', 'aiding']
Topic 14 : ['2015', 'SENSITIVE', 'U', 'Libyan', 'F']
