Topic 1 : ['Obama', 'government', 'people', 'party', 'American']
Topic 2 : ['202', '647', 'Secretary', 'Assistant', 'Valmoro']
Topic 3 : ['Pls', 'print', 'PIs', 'add', 'fyi']
Topic 4 : ['U', 'Obama', 'American', 'United', 'people']
Topic 5 : ['doc', 'like', 'work', 'women', 'people']
Topic 6 : ['Senate', 'FYI', 'e', 'Israeli', 'Netanyahu']
Topic 7 : ['Fyi', 'B6', 'H', 'gov', 'Pls']
Topic 8 : ['2010', '1', '4', '2', '3']
Topic 9 : ['Ok', 'Sullivan', 'gov', 'J', 'Huma']
Topic 10 : ['Israel', 'settlements', 'Israeli', 'Bibi', 'settlement']
Topic 11 : ['Tea', 'Boehner', 'PIH', 'Center', 'North']
Topic 12 : ['w', 'Secretary', '30', '00', 'Office']
Topic 13 : ['time', 'know', 'Clinton', 'Mr', 'Obama']
Topic 14 : ['Bloomberg', 'Haitian', '2010', 'Kurdistan', 'know']
Topic 15 : ['know', 'Afghan', 'Holbrooke', 'women', 'need']
