Topic 1 : ['13', 'memo', '2012', 'reax', 'September']
Topic 2 : ['Libyan', '2015', 'Doc', 'U', 'COMM']
Topic 3 : ['embassy', 'Yemen', '2015', 'Libyan', 'F']
Topic 4 : ['2015', 'Libyan', '05', 'SENSITIVE', 'WAIVER']
Topic 5 : ['Follow', 'Flag', '2015', 'U', 'F']
Topic 6 : ['H', 'aiding', 'docx', '12', 'Syria']
Topic 7 : ['2015', 'Libya', 'really', 'world', 'U']
Topic 8 : ['FYI', 'B6', 'Fyi', '2015', 'Americans']
Topic 9 : ['note', '2015', 'U', 'DEPT', 'Libyan']
Topic 10 : ['12', 'Libya', 'direct', 'B6', 'docx']
Topic 11 : ['2015', 'Libyan', 'Qaddafi', 'REDACTIONS', 'troops']
Topic 12 : ['2015', 'Qaddafi', 'DEPT', 'U', 'Doc']
Topic 13 : ['Libyan', '2015', 'rebel', 'troops', 'U']
Topic 14 : ['2015', 'September', '2012', '12', 'Wednesday']
Topic 15 : ['2015', 'PRODUCED', 'AGREEMENT', '13', 'HOUSE']
Topic 16 : ['12', 'print', 'Pis', 'Arab', 'Libya']
