Topic 1 : ['aiding', 'H', 'Qaddafi', 'Sid', 'memo']
Topic 2 : ['Libyan', '2015', 'troops', 'WAIVER', 'U']
Topic 3 : ['12', '2015', 'Libya', 'Libyan', 'Follow']
Topic 4 : ['12', '2015', 'today', 'Libya', '2012']
Topic 5 : ['Libyan', 'troops', 'REDACTIONS', '2015', 'PRODUCED']
Topic 6 : ['13', 'memo', 'September', '2012', 'reax']
Topic 7 : ['Fyi', '2015', 'world', 'Muslims', 'HOUSE']
Topic 8 : ['aiding', 'libya', 'memo', 'docx', 'hrc']
Topic 9 : ['2015', 'Libyan', 'U', 'COMM', '05']
Topic 10 : ['2015', 'Wednesday', 'Riots', 'Meet', 'September']
Topic 11 : ['2015', 'picture', 'Libyan', 'INFORMATION', '13']
Topic 12 : ['12', 'Libyan', 'Libya', '2015', 'docx']
Topic 13 : ['2015', 'zone', 'flight', 'INFORMATION', 'Colonel']
Topic 14 : ['2015', 'Qaddafi', 'SENSITIVE', 'WAIVER', 'BENGHAZI']
Topic 15 : ['J', 'Libya', '2015', 'B6', 'H']
Topic 16 : ['Qaddafi', 'flight', '2015', '13', 'zone']
Topic 17 : ['Libyan', '2015', 'troops', '13', 'rebel']
