Topic 1 : ['no.', 'sensitive', '-', 'produced']
Topic 2 : ['syria', 'aiding', 'march', 'memo']
Topic 3 : ['libya', 'no.', 'jacob', 'd;']
Topic 4 : ['really', 'work', 'libya', 'including']
Topic 5 : ['no.', 'u.s.', 'produced', 'doc']
Topic 6 : ['no.', 'u.s.', 'comm.', 'benghazi']
Topic 7 : ['libyan', 'no.', 'information', 'date:']
Topic 8 : ['libyan', 'no.', 'sensitive', 'produced']
Topic 9 : ['no.', 'u.s.', 'libyan', 'redactions.']
Topic 10 : ['libyan', 'rebel', 'troops', 'no.']
Topic 11 : ['fyi', '—', 'b6', 'no.']
Topic 12 : ['libya', 'no.', 'follow', 'sept']
Topic 13 : ['embassy', 'note', 'no.', 'date:']
Topic 14 : ['pis', 'print.', 'libyan', 'no.']
Topic 15 : ['no.', 'select', 'u.s.', 'colonel']
Topic 16 : ['libya', '2012', 'september', 'syria']
Topic 17 : ['no.', 'no-flight', 'colonel', 'arab']
Topic 18 : ['libya', 'no.', 'house', 'libyan']
