Topic 1 : ['picture', 'Yemen', 'embassy', 'H', 'Libyan']
Topic 2 : ['2015', 'F', 'Right', '12', '11']
Topic 3 : ['12', 'Libya', 'H', 'print', 'Pis']
Topic 4 : ['2015', 'flight', 'Qaddafi', 'SENSITIVE', 'WAIVER']
Topic 5 : ['2015', 'flight', 'Qaddafi', 'Arab', 'INFORMATION']
Topic 6 : ['2015', 'U', 'BENGHAZI', 'F', 'WAIVER']
Topic 7 : ['12', 'H', '11', 'hrod17', 'com']
Topic 8 : ['flight', 'Arab', 'Colonel', 'zone', '2015']
Topic 9 : ['12', '2012', 'September', 'memo', '13']
Topic 10 : ['2015', 'today', '13', 'H', 'U']
Topic 11 : ['2015', 'Libyan', '13', 'WAIVER', 'U']
Topic 12 : ['2015', '05', 'U', 'PRODUCED', 'DEPT']
Topic 13 : ['2015', 'BENGHAZI', 'COMM', '04841', 'HOUSE']
Topic 14 : ['Libyan', 'troops', '2015', 'rebel', 'rebels']
Topic 15 : ['2015', '13', 'WAIVER', 'INFORMATION', 'F']
Topic 16 : ['docx', 'libya', 'aiding', 'March', '2011']
Topic 17 : ['12', 'B6', 'Fyi', 'libya', 'docx']
Topic 18 : ['Libyan', 'troops', '2015', 'rebel', 'rebels']
Topic 19 : ['2015', 'Libyan', 'SELECT', 'U', 'SENSITIVE']
