Topic 1 : ['2015', 'WAIVER', 'INFORMATION', '04841', '13']
Topic 2 : ['12', 'Libya', 'H', 'libya', 'gov']
Topic 3 : ['really', 'world', 'Libya', 'work', 'know']
Topic 4 : ['memo', '2015', '13', 'docx', 'Qaddafi']
Topic 5 : ['2015', 'Libyan', 'troops', 'rebel', '13']
Topic 6 : ['Libyan', '2015', 'troops', 'SENSITIVE', 'F']
Topic 7 : ['2015', '04841', 'BENGHAZI', 'U', 'REDACTIONS']
Topic 8 : ['2015', 'Qaddafi', 'Libyan', 'flight', '13']
Topic 9 : ['2015', 'Libyan', '05', 'AGREEMENT', 'U']
Topic 10 : ['2015', '13', 'Doc', 'INFORMATION', 'F']
Topic 11 : ['FYI', 'aiding', 'H', 'Syria', '36']
Topic 12 : ['Follow', 'Flag', '2015', 'zone', 'INFORMATION']
Topic 13 : ['Libya', 'J', '2015', '13', 'WAIVER']
Topic 14 : ['12', 'Libya', 'B6', 'Wednesday', 'Sending']
Topic 15 : ['2015', '13', 'REDACTIONS', 'SENSITIVE', 'FOIA']
Topic 16 : ['Fyi', '2015', 'Libyan', 'INFORMATION', 'U']
Topic 17 : ['2015', 'world', 'Americans', 'U', 'REDACTIONS']
Topic 18 : ['2015', 'Libyan', 'picture', 'SELECT', 'U']
Topic 19 : ['H', 'aiding', 'Syria', 'Qaddafi', 'March']
Topic 20 : ['Yemen', 'embassy', '2015', 'Libyan', 'troops']
Topic 21 : ['flight', 'zone', 'Qaddafi', 'Arab', '2015']
