Topic 1 : ['H', '12', 'libya', 'docx', 'aiding']
Topic 2 : ['2015', '13', 'U', 'F', 'INFORMATION']
Topic 3 : ['2015', 'Doc', 'U', 'SENSITIVE', 'FOIA']
Topic 4 : ['Libyan', '2015', 'PRODUCED', 'Doc', 'rebel']
Topic 5 : ['2015', 'today', 'FOIA', 'AGREEMENT', 'DEPT']
Topic 6 : ['2015', 'Libyan', 'Qaddafi', 'DEPT', 'flight']
Topic 7 : ['2015', 'September', '2012', 'Wednesday', '12']
Topic 8 : ['print', 'Pis', 'Fyi', '2015', 'world']
Topic 9 : ['FYI', '2015', 'FOIA', 'world', 'SELECT']
Topic 10 : ['Yemen', 'embassy', '2015', 'COMM', 'REDACTIONS']
Topic 11 : ['12', 'September', '2012', '13', 'Libya']
Topic 12 : ['picture', '2015', 'Muslims', '05', 'world']
Topic 13 : ['Libyan', 'troops', 'rebel', 'French', '2015']
Topic 14 : ['Libyan', 'troops', 'rebel', '2015', 'rebels']
Topic 15 : ['Libyan', '2015', '05', 'troops', 'Qaddafi']
Topic 16 : ['2015', '05', 'Libyan', 'COMM', 'DEPT']
Topic 17 : ['2015', 'B6', 'REDACTIONS', 'Fyi', 'DEPT']
Topic 18 : ['2015', 'world', 'BENGHAZI', 'SENSITIVE', 'U']
Topic 19 : ['Qaddafi', 'Flag', 'Follow', 'Syria', 'H']
Topic 20 : ['2015', 'Qaddafi', 'flight', 'REDACTIONS', 'Doc']
Topic 21 : ['12', 'Qaddafi', 'Libyan', 'docx', 'B6']
Topic 22 : ['aiding', 'March', '2015', 'really', 'Qaddafi']
