Topic 1 : ['Libyan', '2015', 'U', '05', 'SELECT']
Topic 2 : ['2015', 'Libyan', 'troops', '05', 'F']
Topic 3 : ['12', 'Libya', 'B6', 'September', '2012']
Topic 4 : ['Fyi', '2015', 'U', 'WAIVER', 'INFORMATION']
Topic 5 : ['2015', 'INFORMATION', 'HOUSE', 'Libyan', 'Qaddafi']
Topic 6 : ['aiding', 'March', 'B6', '2011', 'docx']
Topic 7 : ['Qaddafi', '2015', 'Colonel', 'zone', 'Arab']
Topic 8 : ['2015', '05', 'U', 'Americans', 'SELECT']
Topic 9 : ['H', 'aiding', '12', 'hrod17', 'docx']
Topic 10 : ['2015', 'Libyan', 'Qaddafi', 'Libya', 'PRODUCED']
Topic 11 : ['troops', 'Libyan', '2015', 'rebel', 'collapse']
Topic 12 : ['H', 'syria', 'aiding', 'Sid', 'Pis']
Topic 13 : ['2015', 'REDACTIONS', '13', 'AGREEMENT', 'U']
Topic 14 : ['picture', '2015', 'world', 'Muslims', 'Americans']
Topic 15 : ['FYI', '2015', 'U', 'PRODUCED', 'Muslims']
Topic 16 : ['FYI', 'Fyi', 'note', 'picture', 'print']
Topic 17 : ['13', 'September', '2012', 'memo', 'reax']
Topic 18 : ['2015', 'flight', 'BENGHAZI', 'Qaddafi', '13']
Topic 19 : ['2015', 'Libyan', '12', 'troops', '05']
Topic 20 : ['2015', 'Muslims', 'Americans', 'U', 'PRODUCED']
Topic 21 : ['12', 'September', '2012', 'Wednesday', 'Libya']
Topic 22 : ['2015', '04841', 'F', 'INFORMATION', 'PRODUCED']
Topic 23 : ['2015', 'Qaddafi', 'flight', 'zone', '05']
