Topic 1 : ['2015', 'Libyan', '13', 'BENGHAZI', 'SELECT']
Topic 2 : ['2015', '13', 'Muslims', 'HOUSE', 'world']
Topic 3 : ['2015', '12', '11', 'Right', 'Extremist']
Topic 4 : ['Pis', 'print', 'FYI', '2015', '13']
Topic 5 : ['2015', 'Follow', 'Flag', 'F', 'U']
Topic 6 : ['really', 'Libya', 'world', 'September', 'Wednesday']
Topic 7 : ['2015', 'zone', 'Qaddafi', 'Colonel', '13']
Topic 8 : ['Libyan', '2015', 'troops', 'rebel', '12']
Topic 9 : ['aiding', 'H', 'Sid', 'memo', 'Qaddafi']
Topic 10 : ['2015', 'Muslims', 'world', 'INFORMATION', 'Americans']
Topic 11 : ['13', '2015', 'memo', '2012', 'reax']
Topic 12 : ['2015', '13', 'PRODUCED', 'flight', '05']
Topic 13 : ['2015', 'WAIVER', '05', 'FOIA', 'COMM']
Topic 14 : ['12', 'Libya', 'September', 'Wednesday', '11']
Topic 15 : ['FYI', '2015', 'Libyan', 'SELECT', 'U']
Topic 16 : ['12', 'Libya', 'direct', 'docx', 'B6']
Topic 17 : ['2015', 'Libyan', 'Qaddafi', 'Fyi', 'INFORMATION']
Topic 18 : ['Libyan', '2015', 'rebel', 'INFORMATION', 'HOUSE']
Topic 19 : ['troops', 'Libyan', 'rebel', '2015', 'French']
Topic 20 : ['flight', 'zone', 'Arab', '2015', 'Qaddafi']
Topic 21 : ['docx', '2015', '12', 'libya', 'aiding']
Topic 22 : ['H', 'J', 'aiding', 'Qaddafi', 'Libya']
Topic 23 : ['12', '2015', 'Libya', 'B6', 'U']
Topic 24 : ['Syria', 'H', 'aiding', 'March', 'Qaddafi']
