Topic 1 : ['Haitian', 'Richards', 'women', 'Haiti', 'people', 'WJC', 'tents', 'know', 'make', 'saw']
Topic 2 : ['note', 'going', 'negotiating', 'want', 'know', 'people', 'today', 'Beck', 'add', 'speech']
Topic 3 : ['e', 'mtg', 'work', 'Happy', 'Marie', 'message', 'Anne', 'need', 'logistics', 'cables']
Topic 4 : ['McChrystal', 'party', 'Afghan', 'Afghanistan', '2010', 'war', 'Tea', 'military', 'Taliban', 'Party']
Topic 5 : ['Woodward', 'Karzai', 'Holbrooke', 'website', 'u', 'Cooperation', 'Robinson', 'Roger', 'agreement', 'Bibi']
Topic 6 : ['print', 'Pls', 'H', 'hikers', '2009', 'Kurdish', 'PIs', 'gov', 'Huma', 'START']
Topic 7 : ['B6', 'Melanne', 'Guards', 'Moscow', 'like', 'tasks', 'Women', 'H', 'today', 'time']
Topic 8 : ['Secretary', '30', '00', 'w', 'Office', '8', '15', '10', 'Room', 'MEETING']
Topic 9 : ['Ok', 'doc', 'talk', 'u', 'add', 'Thanks', 'today', 'Thx', 'great', 'Arizona']
Topic 10 : ['Israel', 'Netanyahu', 'Pentagon', 'Nation', 'Gaza', 'East', 'yes', 'peace', 'Iraq', 'military']
Topic 11 : ['w', 'women', 'Nov', 'like', 'Blackberry', 'Romney', 'Copenhagen', 'list', 'Mail', 'Best']
Topic 12 : ['Press', 'Strategic', 'Dialogue', '03', 'Argentina', 'Alexander', 'Ellen', '1', 'AIPAC', 'rich']
Topic 13 : ['Fyi', 'FYI', 'Huma', 'WFP', 'sure', 'missile', 'Start', 'know', 'AbedinH', 'Books']
Topic 14 : ['2', 'agree', '3', 'calling', 'PIs', '1', 'prepare', 'murder', 'Paul', 'mins']
Topic 15 : ['Obama', 'Mr', 'American', 'Clinton', 'people', 'says', 'think', 'right', 'president', 'Iran']
Topic 16 : ['U', 'Israel', 'nuclear', 'settlements', 'security', 'United', 'conflict', 'government', 'American', 'time']
Topic 17 : ['gov', 'Kabul', '2009', 'camera', '647', '202', 'H', 'Conflict', 'August', 'reach']
Topic 18 : ['1', '2', 'Thx', '30', 'Safe', 'panel', '3', 'reads', '10', 'Secretary']
Topic 19 : ['Au', 'work', 'Russia', 'Germany', 'women', 'getting', 'people', 'tell', 'b', 'needs']
Topic 20 : ['1', '4', 'B6', 'B1', 'B', '2010', 'w', 'B5', 'RELEASE', 'email']
Topic 21 : ['fyi', 'DC', 'Eikenberry', 'Reid', 'week', 'Washington', 'w', 'wanted', 'like', 'NW']
Topic 22 : ['Yes', 'Ireland', 'got', 'Lieberman', 'time', 'Gelb', 'know', 'told', 'play', 'think']
Topic 23 : ['Obama', 'Democrats', 'Senate', 'percent', 'Republican', '2010', 'House', 'Republicans', 'voters', 'Boehner']
Topic 24 : ['Senate', 'company', 'US', 'explained', 'PIH', '1', 'humanitarian', 'policy', 'donors', 'vote']
Topic 25 : ['2010', 'H', 'gov', 'com', 'clintonemail', 'hrod17', 'Cheryl', '1', 'Mills', '10']
