Topic 1 : ['Libyan', 'rebel', 'troops', '2015', 'collapse']
Topic 2 : ['2015', 'Doc', 'U', 'SELECT', 'INFORMATION']
Topic 3 : ['12', 'Libya', 'H', 'libya', '2015']
Topic 4 : ['FYI', 'picture', 'Fyi', 'note', 'Pis']
Topic 5 : ['H', 'aiding', 'Syria', 'Friday', '030311']
Topic 6 : ['2015', 'Meet', 'Wednesday', '13', 'Right']
Topic 7 : ['Libyan', 'rebel', 'troops', '2015', 'rebels']
Topic 8 : ['Libyan', '2015', 'Qaddafi', 'flight', '13']
Topic 9 : ['Libyan', 'troops', '2015', 'rebel', 'rebels']
Topic 10 : ['today', '2015', 'Fyi', 'Tripoli', 'Embassy']
Topic 11 : ['Libyan', 'troops', 'rebel', '2015', 'rebels']
Topic 12 : ['2015', 'PRODUCED', 'Libyan', '05', '04841']
Topic 13 : ['2015', 'U', '04841', 'WAIVER', 'FOIA']
Topic 14 : ['2015', 'REDACTIONS', 'U', 'Doc', 'AGREEMENT']
Topic 15 : ['2015', 'picture', 'Muslims', 'world', 'Americans']
Topic 16 : ['13', '2015', 'September', '2012', 'flight']
Topic 17 : ['Libyan', '2015', 'troops', 'U', 'rebel']
Topic 18 : ['Flag', 'Follow', 'Yemen', 'embassy', 'troops']
Topic 19 : ['2015', 'U', 'Americans', '13', 'INFORMATION']
Topic 20 : ['aiding', 'March', 'memo', 'hrc', 'libya']
Topic 21 : ['12', 'Libya', 'B6', 'libya', 'sept']
Topic 22 : ['2015', 'print', 'Pis', 'Libyan', '05']
Topic 23 : ['2015', 'Qaddafi', 'Libyan', 'REDACTIONS', 'flight']
Topic 24 : ['troops', 'Libyan', 'really', '2015', 'Libya']
Topic 25 : ['2015', 'Colonel', 'Libyan', 'flight', 'Qaddafi']
Topic 26 : ['12', 'Libya', 'docx', 'libya', 'Wednesday']
