Topic 1 : ['Libyan', 'troops', 'rebel', '2015', 'FOIA']
Topic 2 : ['12', 'Libya', 'libya', 'H', 'corn']
Topic 3 : ['2015', 'DEPT', 'Libyan', '13', 'COMM']
Topic 4 : ['12', 'flight', 'Libya', '2015', 'H']
Topic 5 : ['aiding', 'March', 'memo', '2011', 'docx']
Topic 6 : ['embassy', 'Yemen', 'Muslims', 'world', 'Americans']
Topic 7 : ['Muslims', 'Americans', '2015', 'world', 'U']
Topic 8 : ['2015', 'Americans', 'Muslims', '13', 'world']
Topic 9 : ['FYI', 'Libyan', '2015', 'troops', 'rebel']
Topic 10 : ['FYI', 'Libyan', 'rebel', 'troops', '2015']
Topic 11 : ['2015', 'picture', 'DEPT', 'AGREEMENT', 'U']
Topic 12 : ['2015', 'Libyan', 'rebel', 'Qaddafi', 'troops']
Topic 13 : ['Libyan', 'troops', 'rebel', 'REDACTIONS', 'COMM']
Topic 14 : ['J', 'Libya', '12', 'H', '2012']
Topic 15 : ['12', 'September', '2012', 'Wednesday', 'Verizon']
Topic 16 : ['Follow', 'Flag', 'flight', '2015', 'Colonel']
Topic 17 : ['13', 'memo', '2012', 'reax', 'September']
Topic 18 : ['Syria', 'H', 'aiding', 'March', 'Qaddafi']
Topic 19 : ['Libyan', 'troops', '2015', 'DEPT', 'SELECT']
Topic 20 : ['flight', 'zone', 'Qaddafi', 'support', 'Colonel']
Topic 21 : ['12', '2015', 'Pis', 'print', '13']
Topic 22 : ['2015', '13', 'WAIVER', 'COMM', 'AGREEMENT']
Topic 23 : ['2015', 'U', 'Qaddafi', 'SENSITIVE', 'INFORMATION']
Topic 24 : ['12', 'Libyan', '2015', 'Libya', 'troops']
Topic 25 : ['Qaddafi', 'H', 'aiding', '2011', 'flight']
Topic 26 : ['B6', 'Fyi', 'flight', 'really', 'zone']
Topic 27 : ['today', 'svtc', '2015', 'DEPT', 'Tripoli']
