Topic 1 : ['12', 'Wednesday', '11', 'September', 'gov']
Topic 2 : ['U', 'CNN', '2015', 'Americans', 'Muslims']
Topic 3 : ['2015', 'Libyan', 'Qaddafi', 'INFORMATION', '05']
Topic 4 : ['12', 'Libya', 'B6', 'Sending', 'docx']
Topic 5 : ['picture', '2015', 'U', 'WAIVER', 'Libyan']
Topic 6 : ['2015', 'INFORMATION', 'Americans', '13', 'U']
Topic 7 : ['Fyi', 'FYI', 'flight', 'support', '2015']
Topic 8 : ['2015', 'Libyan', '05', 'troops', 'WAIVER']
Topic 9 : ['2015', 'B6', 'Fyi', 'F', 'Libyan']
Topic 10 : ['2015', 'PRODUCED', 'WAIVER', 'U', 'BENGHAZI']
Topic 11 : ['2015', '13', 'Libyan', 'COMM', 'troops']
Topic 12 : ['2015', 'PRODUCED', '05', 'HOUSE', '04841']
Topic 13 : ['Arab', 'zone', 'Qaddafi', 'flight', '13']
Topic 14 : ['Libyan', 'troops', '2015', 'rebel', 'rebels']
Topic 15 : ['Libyan', 'troops', 'rebel', '2015', 'French']
Topic 16 : ['Libyan', '2015', 'troops', 'REDACTIONS', 'U']
Topic 17 : ['2015', '05', '04841', '13', 'Libyan']
Topic 18 : ['12', 'Libya', 'September', 'Wednesday', '2012']
Topic 19 : ['aiding', 'H', 'docx', 'libya', 'March']
Topic 20 : ['Follow', 'Flag', 'embassy', 'Yemen', 'Colonel']
Topic 21 : ['Arab', 'flight', 'zone', '2015', 'Colonel']
Topic 22 : ['13', 'memo', 'September', 'reax', '2012']
Topic 23 : ['2015', 'U', 'Libyan', 'AGREEMENT', 'SELECT']
Topic 24 : ['Libyan', '2015', 'troops', 'WAIVER', 'rebel']
Topic 25 : ['2015', 'Libyan', 'troops', 'Qaddafi', '13']
Topic 26 : ['2015', 'U', 'Film', 'Wednesday', '12']
Topic 27 : ['2015', 'Colonel', 'Qaddafi', '05', 'Libyan']
Topic 28 : ['zone', 'flight', 'Colonel', 'Arab', 'Qaddafi']
