Topic 1 : ['zone', 'flight', 'Qaddafi', 'Arab', '2015']
Topic 2 : ['Libyan', '2015', 'rebel', 'troops', 'French']
Topic 3 : ['Libyan', 'troops', 'rebel', '2015', '05']
Topic 4 : ['2015', 'H', '11', 'DEPT', 'FOIA']
Topic 5 : ['embassy', 'Yemen', 'Libyan', 'troops', '2015']
Topic 6 : ['2015', 'F', 'U', 'PRODUCED', 'COMM']
Topic 7 : ['troops', 'Libyan', '2015', '05', 'FOIA']
Topic 8 : ['Muslims', '2015', '04841', 'F', 'world']
Topic 9 : ['FYI', 'Fyi', 'note', 'picture', 'Pis']
Topic 10 : ['12', 'Libya', 'docx', 'sept', '37']
Topic 11 : ['12', '2015', 'Libya', 'U', 'world']
Topic 12 : ['Colonel', 'zone', 'flight', 'Arab', '2015']
Topic 13 : ['2015', 'Qaddafi', 'FOIA', 'Colonel', 'BENGHAZI']
Topic 14 : ['FYI', 'flight', 'zone', 'Colonel', 'Arab']
Topic 15 : ['2015', 'troops', 'Libyan', '05', '13']
Topic 16 : ['2015', 'Qaddafi', 'flight', 'Colonel', 'zone']
Topic 17 : ['picture', 'Libyan', 'rebel', '2015', 'troops']
Topic 18 : ['J', '12', 'gov', 'September', 'H']
Topic 19 : ['Libyan', '12', '2015', 'troops', 'Libya']
Topic 20 : ['2015', 'U', 'Muslims', 'Americans', 'world']
Topic 21 : ['12', '2012', 'September', '13', 'Libya']
Topic 22 : ['H', 'Syria', '2015', 'aiding', 'Libyan']
Topic 23 : ['J', 'flight', 'zone', 'Colonel', 'Libya']
Topic 24 : ['Libyan', 'troops', '2015', 'rebels', 'rebel']
Topic 25 : ['aiding', 'March', '2011', 'docx', 'memo']
Topic 26 : ['FYI', 'Fyi', 'note', 'picture', 'B6']
Topic 27 : ['Flag', 'Follow', 'FYI', 'Libyan', 'troops']
Topic 28 : ['12', 'DRUID', 'libya', '4G', 'B6']
Topic 29 : ['2015', 'flight', 'U', 'Qaddafi', 'SENSITIVE']
