Topic 1 : ['Tea', 'U', 'capacity', 'Secretary', 'Year', 'government', 'F', 'people', 'ex', 'American']
Topic 2 : ['g', 'Prince', 'Yes', 'e', 'time', 'note', 'July', 'Obama', 'office', 'Clinton']
Topic 3 : ['people', 'American', 'Obama', 'United', 'U', 'States', 'government', 'work', 'world', 'time']
Topic 4 : ['Pls', 'print', 'PIs', 'add', 'Happy', 'women', 'list', 'copies', 'Nixon', 'great']
Topic 5 : ['Mr', 'Senate', 'Obama', 'Labour', 'Ed', 'David', 'left', 'START', 'party', 'political']
Topic 6 : ['H', 'clintonemail', 'hrod17', 'com', 'gov', '2010', '10', 'B5', 'Kabul', 'sullivanjj']
Topic 7 : ['time', 'Woodward', 'Sarkozy', 'French', 'brother', 'calling', 'Blair', 'tasks', 'memo', 'complete']
Topic 8 : ['1', '4', 'B1', 'Pentagon', 'B', 'Secretary', 'Lieberman', 'Richard', 'Kennedy', '3']
Topic 9 : ['Secretary', '30', '00', 'w', 'Office', '8', '15', '10', 'Room', 'MEETING']
Topic 10 : ['percent', '2010', '1', '2', 'Democrats', 'voters', 'Palin', '3', 'Obama', 'Republicans']
Topic 11 : ['DC', 'know', 'Beck', 'Argentina', 'Washington', 'NW', 'Abbas', 'scheduled', 'PIR', '202']
Topic 12 : ['Ok', 'Dialogue', 'Strategic', '1', 'Labour', 'w', 'Center', 'Tbd', 'doc', 'mtg']
Topic 13 : ['party', 'H', 'Germany', '2010', 'good', 'know', 'E', 'happy', '2009', 'stay']
Topic 14 : ['FYI', 'B6', 'hikers', 'company', 'RELEASE', 'prefer', 'plane', 'pls', 'Greek', 'Brian']
Topic 15 : ['early', 'know', 'UNICEF', 'emailed', 'thought', 'book', 'ones', 'observations', 'briefing', 'Jm']
Topic 16 : ['Richards', 'talk', 'tomorrow', 'want', 'w', 'Afghan', 'think', 'QDDR', 'work', 'Jake']
Topic 17 : ['Pakistan', 'India', 'women', 'Russia', 'government', 'US', 'spending', 'China', 'Tea', 'Taliban']
Topic 18 : ['Boehner', '2010', 'know', 'message', 'thought', 'year', 'work', 'says', 'week', 'time']
Topic 19 : ['Israel', 'Israeli', 'settlements', 'settlement', 'Palestinian', '647', 'peace', 'Jewish', '202', 'Bibi']
Topic 20 : ['McChrystal', 'Kurdistan', 'Iran', 'Kurdish', 'time', 'Obama', 'war', 'Nation', 'Gates', 'sanctions']
Topic 21 : ['Start', 'PIH', 'Yes', 'like', 'way', 'think', 'Paul', 'space', 'know', 'church']
Topic 22 : ['Thx', 'Pls', 'min', 'CRS', 'discuss', 'PIs', 'like', 'prevention', 'fine', 'Enjoy']
Topic 23 : ['U', 'Obama', 'nuclear', 'Afghanistan', 'like', 'president', 'Clinton', 'Mr', 'military', 'President']
Topic 24 : ['2010', 'Sullivan', 'gov', 'J', 'H', 'Jacob', 'SullivanJJ', 'Cheryl', 'tomorrow', '7']
Topic 25 : ['2010', 'gov', 'H', '4', '1', 'Cheryl', 'com', 'Huma', 'doc', 'December']
Topic 26 : ['Revolutionary', 'Guards', 'Iran', 'Iranian', 'Taab', 'e', 'confirmed', 'interested', 'liked', 'Tehran']
Topic 27 : ['tonight', 'Life', 'McConnell', 'statement', 'Rahm', 'travel', 'Society', 'detailed', 'Snowe', 'doors']
Topic 28 : ['party', 'Party', 'cut', 'proposed', 'WFP', 'make', 'sufficient', 'picture', 'think', 'warned']
Topic 29 : ['Fyi', 'Netanyahu', 'Bloomberg', '1', '4', 'Valmoro', 'Secretary', 'Lona', 'Assistant', 'B1']
Topic 30 : ['health', 'care', 'Obama', 'hikers', 'White', 'House', 'Baucus', 'Senate', 'Conflict', 'Clinton']
