Topic 1 : ['Libyan', 'rebel', 'troops', '2015', 'rebels']
Topic 2 : ['2015', 'Libyan', 'U', 'troops', 'Doc']
Topic 3 : ['2015', 'Libyan', 'U', 'SENSITIVE', 'REDACTIONS']
Topic 4 : ['2015', 'Libyan', 'troops', 'rebel', 'U']
Topic 5 : ['2015', '11', 'Riots', 'September', 'Deadly']
Topic 6 : ['2015', '05', 'U', 'BENGHAZI', 'Colonel']
Topic 7 : ['H', 'aiding', 'Syria', 'Qaddafi', 'March']
Topic 8 : ['Flag', 'Follow', '2015', '12', '2012']
Topic 9 : ['flight', '2015', 'zone', 'Qaddafi', 'Arab']
Topic 10 : ['2015', 'world', 'Americans', 'Belief', 'CNN']
Topic 11 : ['Qaddafi', 'flight', '2015', 'Arab', 'zone']
Topic 12 : ['Libyan', 'rebel', 'troops', '2015', 'rebels']
Topic 13 : ['Libyan', '2015', 'troops', 'DEPT', 'rebel']
Topic 14 : ['aiding', 'libya', 'syria', 'memo', 'note']
Topic 15 : ['Libyan', 'troops', '2015', 'rebel', '05']
Topic 16 : ['FYI', '11', 'Wing', 'Right', 'Anti']
Topic 17 : ['2015', 'world', 'Muslims', 'Americans', '05']
Topic 18 : ['12', 'September', 'Libya', '2012', 'Wednesday']
Topic 19 : ['J', 'Libya', 'H', '12', 'Yemen']
Topic 20 : ['2015', 'flight', 'Colonel', 'Qaddafi', '13']
Topic 21 : ['2015', 'flight', 'zone', 'Colonel', 'Qaddafi']
Topic 22 : ['Fyi', 'Libyan', '2015', '13', '05']
Topic 23 : ['13', 'memo', 'September', '2012', 'reax']
Topic 24 : ['Libyan', '2015', 'SELECT', 'INFORMATION', '04841']
Topic 25 : ['flight', '2015', 'zone', 'Qaddafi', 'Colonel']
Topic 26 : ['2015', '13', 'PRODUCED', 'today', 'HOUSE']
Topic 27 : ['FYI', 'note', 'Fyi', 'picture', 'B6']
Topic 28 : ['B6', 'Fyi', '2015', 'Americans', 'Muslims']
Topic 29 : ['12', '2012', 'docx', 'September', 'Libya']
Topic 30 : ['Libyan', 'troops', 'rebel', '2015', 'PRODUCED']
Topic 31 : ['12', 'Pis', 'print', 'Libya', 'H']
