Topic 1 : ['2015', '13', 'U', 'INFORMATION', 'BENGHAZI']
Topic 2 : ['12', '2015', 'Libya', 'B6', 'world']
Topic 3 : ['really', 'Libya', 'moving', 'coming', 'know']
Topic 4 : ['FYI', 'Fyi', 'picture', 'print', 'note']
Topic 5 : ['2015', 'U', 'DEPT', 'WAIVER', 'FOIA']
Topic 6 : ['Flag', 'Follow', 'flight', 'zone', 'Qaddafi']
Topic 7 : ['picture', '2015', 'Muslims', 'world', 'Doc']
Topic 8 : ['aiding', 'H', 'March', '2011', 'memo']
Topic 9 : ['2015', 'U', 'SELECT', 'WAIVER', 'FOIA']
Topic 10 : ['2015', '13', 'Qaddafi', 'PRODUCED', 'U']
Topic 11 : ['Sparked', '12', 'Extremist', '11', '2015']
Topic 12 : ['2015', 'REDACTIONS', 'U', 'COMM', 'world']
Topic 13 : ['aiding', 'H', 'Abedin', 'clintonemail', 'Qaddafi']
Topic 14 : ['12', 'Libya', 'docx', 'B6', 'direct']
Topic 15 : ['2015', 'SENSITIVE', 'COMM', 'DEPT', 'FOIA']
Topic 16 : ['12', '2015', 'today', 'Libya', 'H']
Topic 17 : ['Pis', 'H', '2015', 'aiding', 'print']
Topic 18 : ['note', 'flight', 'Qaddafi', 'zone', '2015']
Topic 19 : ['2015', 'Qaddafi', 'Colonel', 'Libyan', 'zone']
Topic 20 : ['September', 'memo', '13', '2012', 'reax']
Topic 21 : ['flight', 'Arab', 'zone', '2015', 'Qaddafi']
Topic 22 : ['2015', 'Muslims', 'REDACTIONS', 'PRODUCED', 'world']
Topic 23 : ['2015', 'DEPT', 'PRODUCED', '05', 'SENSITIVE']
Topic 24 : ['Film', 'Meet', 'Anti', 'Riots', 'Right']
Topic 25 : ['Libyan', 'troops', '2015', 'rebel', 'rebels']
Topic 26 : ['12', 'sept', 'hrod17', 'gov', 'Libya']
Topic 27 : ['FYI', 'Libyan', 'troops', '2015', 'U']
Topic 28 : ['Libyan', 'troops', 'rebel', '2015', 'rebels']
Topic 29 : ['Libyan', 'troops', '2015', 'rebel', 'C05739594']
Topic 30 : ['2015', 'Yemen', 'embassy', 'today', 'Doc']
Topic 31 : ['Libyan', 'troops', '2015', 'rebels', 'rebel']
Topic 32 : ['Libyan', '2015', 'troops', 'DEPT', 'rebel']
