Topic 1 : ['Qaddafi', 'flight', '2015', 'H', 'Arab']
Topic 2 : ['2015', 'Libyan', 'SELECT', 'SENSITIVE', 'PRODUCED']
Topic 3 : ['2015', 'Doc', 'Qaddafi', 'flight', 'DEPT']
Topic 4 : ['Flag', 'Follow', '2015', 'troops', 'Libyan']
Topic 5 : ['aiding', 'hrc', 'March', 'memo', 'syria']
Topic 6 : ['2015', 'WAIVER', 'U', 'INFORMATION', 'print']
Topic 7 : ['Libyan', '05', 'WAIVER', '2015', '13']
Topic 8 : ['2015', 'DEPT', 'REDACTIONS', '13', '05']
Topic 9 : ['FYI', 'Fyi', 'picture', 'note', 'print']
Topic 10 : ['12', 'Libya', '2012', 'September', 'really']
Topic 11 : ['note', 'Libyan', 'troops', '2015', 'rebel']
Topic 12 : ['2015', 'today', 'U', 'SENSITIVE', 'INFORMATION']
Topic 13 : ['Fyi', '2015', 'world', 'Muslims', 'religion']
Topic 14 : ['12', 'Libya', 'H', 'print', '2012']
Topic 15 : ['13', 'September', '2012', '2015', 'memo']
Topic 16 : ['2015', 'U', 'SELECT', 'CNN', 'Americans']
Topic 17 : ['Colonel', '2015', 'Qaddafi', 'flight', 'zone']
Topic 18 : ['Muslims', '2015', 'religion', 'U', '13']
Topic 19 : ['Libyan', '2015', 'troops', 'rebel', 'rebels']
Topic 20 : ['zone', 'flight', 'Arab', '2015', 'Qaddafi']
Topic 21 : ['FYI', 'Fyi', 'picture', 'note', '12']
Topic 22 : ['Libyan', 'troops', '2015', 'rebel', 'rebels']
Topic 23 : ['12', 'Libya', 'docx', 'libya', 'September']
Topic 24 : ['Libyan', 'troops', '2015', 'rebel', 'collapse']
Topic 25 : ['Libyan', 'troops', 'rebel', '2015', 'rebels']
Topic 26 : ['H', 'Syria', 'aiding', 'Qaddafi', 'March']
Topic 27 : ['2015', 'flight', 'Colonel', 'zone', 'Arab']
Topic 28 : ['Yemen', 'embassy', 'FYI', 'Fyi', 'note']
Topic 29 : ['2015', 'U', 'PRODUCED', '05', 'F']
Topic 30 : ['2015', 'world', 'Americans', '13', 'HOUSE']
Topic 31 : ['J', 'Libya', 'Jacob', 'H', 'Cheryl']
Topic 32 : ['Libyan', '2015', 'troops', 'rebels', 'rebel']
Topic 33 : ['FYI', 'Fyi', 'note', 'picture', 'B6']
