Topic 1 : ['2015', 'U', 'F', '04841', 'today']
Topic 2 : ['print', 'Pis', 'FYI', 'picture', 'Fyi']
Topic 3 : ['zone', 'Colonel', 'Arab', 'flight', 'Qaddafi']
Topic 4 : ['2015', 'FYI', 'U', '04841', 'Muslims']
Topic 5 : ['H', 'aiding', 'Qaddafi', 'March', '2011']
Topic 6 : ['2015', 'Americans', 'FOIA', 'INFORMATION', 'U']
Topic 7 : ['13', 'memo', 'September', 'reax', '2012']
Topic 8 : ['2015', 'flight', 'zone', 'Qaddafi', 'Colonel']
Topic 9 : ['FYI', 'picture', 'Fyi', 'note', 'Pis']
Topic 10 : ['2015', 'Libyan', 'Qaddafi', 'flight', 'Colonel']
Topic 11 : ['aiding', 'H', 'Qaddafi', 'March', '030311']
Topic 12 : ['2015', 'Americans', 'HOUSE', 'CNN', 'world']
Topic 13 : ['Libyan', 'rebel', 'troops', 'French', 'WAIVER']
Topic 14 : ['2015', 'U', 'CNN', 'world', 'default']
Topic 15 : ['2015', 'flight', 'zone', 'Libyan', '13']
Topic 16 : ['Qaddafi', '2015', 'flight', 'Colonel', 'zone']
Topic 17 : ['Libyan', 'troops', '2015', 'rebels', 'French']
Topic 18 : ['Follow', 'Flag', 'Libyan', '2015', 'REDACTIONS']
Topic 19 : ['FYI', 'picture', 'Fyi', 'note', 'Yemen']
Topic 20 : ['2015', 'Libyan', 'Doc', 'U', 'WAIVER']
Topic 21 : ['B6', 'Fyi', 'Libyan', 'troops', '2015']
Topic 22 : ['really', 'world', 'Libya', 'Syria', 'H']
Topic 23 : ['September', 'Extremist', 'Wing', 'Meet', 'Wednesday']
Topic 24 : ['12', '2012', 'Wednesday', 'H', 'gov']
Topic 25 : ['Fyi', 'Libyan', 'troops', '2015', 'rebel']
Topic 26 : ['12', 'Libya', 'H', 'libya', 'Pis']
Topic 27 : ['2015', 'Sparked', '12', 'Right', 'AGREEMENT']
Topic 28 : ['Libyan', '2015', 'troops', 'rebel', 'rebels']
Topic 29 : ['Libyan', 'troops', 'rebel', '2015', 'collapse']
Topic 30 : ['picture', 'FYI', 'Fyi', 'note', '12']
Topic 31 : ['Qaddafi', '13', 'flight', 'FOIA', '2015']
Topic 32 : ['aiding', 'March', '2011', 'docx', 'memo']
Topic 33 : ['2015', 'Libyan', '12', 'Qaddafi', 'rebel']
Topic 34 : ['12', 'Libya', 'B6', 'direct', 'docx']
