Topic 1 : ['note', 'FYI', 'Fyi', 'picture', '12']
Topic 2 : ['J', 'Libya', '12', 'H', '2012']
Topic 3 : ['12', 'corn', 'Libya', '2012', 'libya']
Topic 4 : ['aiding', '030311', 'memo', 'docx', 'hrc']
Topic 5 : ['FYI', 'troops', 'Libyan', '2015', 'rebel']
Topic 6 : ['12', 'Follow', 'Flag', 'Libya', '2015']
Topic 7 : ['FYI', 'Fyi', 'note', 'picture', 'print']
Topic 8 : ['Libyan', '2015', 'troops', '05', '13']
Topic 9 : ['12', 'September', '2012', '13', 'B6']
Topic 10 : ['13', 'U', '2015', 'HOUSE', 'world']
Topic 11 : ['Pis', 'print', 'FYI', 'Fyi', 'note']
Topic 12 : ['2015', 'Deadly', 'Sparked', 'Extremist', '11']
Topic 13 : ['12', 'Libya', 'Wednesday', 'September', '2012']
Topic 14 : ['Muslims', '2015', 'U', 'world', 'SELECT']
Topic 15 : ['2015', 'world', 'U', 'AGREEMENT', '13']
Topic 16 : ['H', 'aiding', '1', 'clintonemail', 'com']
Topic 17 : ['2015', 'Arab', 'F', 'Qaddafi', 'flight']
Topic 18 : ['2015', 'Qaddafi', 'Libyan', 'zone', 'Colonel']
Topic 19 : ['Fyi', 'B6', 'picture', '2015', 'U']
Topic 20 : ['2015', 'U', 'F', 'PRODUCED', 'BENGHAZI']
Topic 21 : ['Libyan', 'troops', '2015', 'rebel', 'rebels']
Topic 22 : ['2015', 'flight', 'Arab', 'Qaddafi', 'AGREEMENT']
Topic 23 : ['05', '13', 'Libyan', 'Doc', '2015']
Topic 24 : ['Libyan', '2015', 'troops', 'rebel', 'rebels']
Topic 25 : ['2015', 'Muslims', 'U', '13', 'Americans']
Topic 26 : ['aiding', '2011', 'syria', 'libya', 'March']
Topic 27 : ['Libyan', 'troops', '2015', 'rebel', 'French']
Topic 28 : ['Qaddafi', '2015', '04841', 'flight', '13']
Topic 29 : ['2015', 'FOIA', 'REDACTIONS', 'INFORMATION', 'SELECT']
Topic 30 : ['reax', 'September', '2012', '13', 'memo']
Topic 31 : ['2015', 'Meet', '2012', 'Riots', 'Anti']
Topic 32 : ['Libyan', 'troops', '2015', 'rebel', 'SENSITIVE']
Topic 33 : ['today', 'Tripoli', 'Embassy', '13', 'F']
Topic 34 : ['Syria', 'H', 'aiding', 'libya', 'docx']
Topic 35 : ['flight', 'Arab', '2015', 'support', 'Qaddafi']
