Topic 1 : ['no.', 'produced', 'religious', 'libya']
Topic 2 : ['troops', 'libyan', 'no.', 'rebel']
Topic 3 : ['produced', 'no.', 'doc', 'select']
Topic 4 : ['no.', 'produced', '05/13/2015', 'foia']
Topic 5 : ['fyi', 'no.', 'colonel', 'arab']
Topic 6 : ['libyan', 'rebel', 'troops', 'no.']
Topic 7 : ['aiding', 'syria', 'march', 'memo']
Topic 8 : ['no.', 'sensitive', 'date:', 'comm.']
Topic 9 : ['no-flight', 'colonel', 'arab', 'no.']
Topic 10 : ['really', 'libya', 'including', '2012']
Topic 11 : ['fyi', 'picture', 'embassy', 'note']
Topic 12 : ['syria', 'aiding', 'hrc', 'libya']
Topic 13 : ['aiding', 'syria', 'qaddafi', 'h']
Topic 14 : ['libyan', 'no.', 'house', 'sensitive']
Topic 15 : ['arab', 'no-flight', 'support', 'international']
Topic 16 : ['no.', 'produced', 'sensitive', 'information']
Topic 17 : ['fyi', 'picture', 'note', 'embassy']
Topic 18 : ['no-flight', 'zone', 'no.', 'colonel']
Topic 19 : ['libya', 'no.', 'u.s.', 'produced']
Topic 20 : ['libya', 'no.', 'u.s.', 'select']
Topic 21 : ['no.', 'redactions.', '&', 'f-2015-04841']
Topic 22 : ['fyi', 'picture', 'embassy', 'print.']
Topic 23 : ['embassy', 'fyi', 'no.', 'u.s.']
Topic 24 : ['follow', 'flag', 'no.', 'doc']
Topic 25 : ['fyi', 'picture', 'note', 'embassy']
Topic 26 : ['libyan', 'no.', 'libya', '05/13/2015']
Topic 27 : ['no.', 'dept.', 'information', 'sensitive']
Topic 28 : ['pis', 'libya', 'print.', 'd;']
Topic 29 : ['no-flight', 'colonel', 'arab', 'no.']
Topic 30 : ['september', '2012', 'reax', 'magariaf']
Topic 31 : ['no.', 'arab', 'no-flight', 'colonel']
Topic 32 : ['syria', 'aiding', 'picture', 'sid']
Topic 33 : ['troops', 'libyan', 'rebel', 'no.']
Topic 34 : ['—', 'b6', 'fyi', 'libyan']
Topic 35 : ['libyan', 'rebel', 'no.', 'troops']
Topic 36 : ['fyi', 'note', 'picture', 'print.']
