Topic 1 : ['2015', 'troops', 'Libyan', 'rebel', 'French']
Topic 2 : ['note', 'rebel', '2015', 'Libyan', 'troops']
Topic 3 : ['flight', 'Qaddafi', 'Colonel', '2015', 'Arab']
Topic 4 : ['Colonel', 'Qaddafi', '2015', 'zone', 'flight']
Topic 5 : ['2015', 'Libyan', 'REDACTIONS', 'PRODUCED', '05']
Topic 6 : ['Libyan', 'troops', 'French', '2015', 'rebel']
Topic 7 : ['flight', 'zone', 'Colonel', 'Qaddafi', '2015']
Topic 8 : ['Libyan', 'troops', '2015', 'rebels', 'rebel']
Topic 9 : ['2015', 'today', '13', 'INFORMATION', 'FOIA']
Topic 10 : ['Yemen', 'embassy', '2015', 'zone', 'Qaddafi']
Topic 11 : ['12', 'Libya', 'libya', 'Wednesday', '2012']
Topic 12 : ['FYI', '2015', 'Libyan', 'troops', 'Qaddafi']
Topic 13 : ['Follow', 'Flag', '2015', 'Libyan', 'Doc']
Topic 14 : ['H', 'September', '2012', '13', 'memo']
Topic 15 : ['2015', 'Americans', 'world', 'U', 'SENSITIVE']
Topic 16 : ['12', 'Libya', '11', 'gov', 'H']
Topic 17 : ['2015', 'U', 'Muslims', '13', 'Americans']
Topic 18 : ['2015', 'Libyan', 'U', 'INFORMATION', 'SELECT']
Topic 19 : ['12', 'libya', 'aiding', 'H', 'docx']
Topic 20 : ['J', 'Mills', 'Libya', '12', '2012']
Topic 21 : ['B6', 'Fyi', 'Libyan', 'troops', 'rebel']
Topic 22 : ['2015', 'world', 'PRODUCED', 'U', '13']
Topic 23 : ['aiding', 'March', 'docx', '2011', 'memo']
Topic 24 : ['FYI', 'Fyi', 'picture', 'note', '12']
Topic 25 : ['2015', 'U', 'world', 'Americans', 'Muslims']
Topic 26 : ['2015', 'U', 'Qaddafi', 'COMM', 'BENGHAZI']
Topic 27 : ['2015', 'world', 'AGREEMENT', '13', 'HOUSE']
Topic 28 : ['FYI', 'Fyi', 'note', 'picture', '12']
Topic 29 : ['Qaddafi', 'Arab', '2015', 'flight', 'zone']
Topic 30 : ['Libyan', 'troops', '2015', 'rebel', 'F']
Topic 31 : ['2015', 'world', 'Libya', '13', 'U']
Topic 32 : ['2015', 'Arab', 'flight', 'Libyan', 'Colonel']
Topic 33 : ['rebel', 'rebels', 'Libyan', '2015', 'troops']
Topic 34 : ['flight', '2015', 'zone', 'Qaddafi', 'Colonel']
Topic 35 : ['FYI', 'Fyi', 'picture', 'note', 'Pis']
Topic 36 : ['print', 'Pis', 'FYI', 'picture', 'Fyi']
Topic 37 : ['Libyan', 'troops', 'rebel', 'rebels', '2015']
