Topic 1 : ['Nation', 'Pls', 'checking', 'Melanne', 'mtg', 'follow', 'interested', 'VerveerMS', 'traffic', 'later']
Topic 2 : ['want', 'Germany', 'going', 'H', 'gov', 'DC', 'think', 'conf', 'Thanks', 'getting']
Topic 3 : ['doc', 'Dialogue', 'fyi', 'Strategic', 'copies', 'FCO', 'Best', 'gender', 'Eric', 'Ellen']
Topic 4 : ['women', 'North', 'hikers', 'border', 'Korea', 'good', 'today', 'think', 'Korean', 'like']
Topic 5 : ['Taliban', 'Pakistan', 'humanitarian', 'claim', 'received', 'company', 'talks', 'Afghanistan', 'Nations', 'book']
Topic 6 : ['add', 'list', 'Yes', 'Pls', 'PIs', 'discuss', 'church', 'note', 'raising', 'like']
Topic 7 : ['leaving', 'statement', 'box', 'asap', 'stuff', 'murder', 'okay', 'shortly', 'greetings', 'Isabelle']
Topic 8 : ['Secretary', 'w', '00', '30', 'Office', 'Room', '8', '15', '10', 'MEETING']
Topic 9 : ['Obama', 'public', 'health', 'support', 'people', 'American', 'Americans', 'Republicans', 'policy', 'world']
Topic 10 : ['Ok', 'Reid', 'Latin', 'cloture', 'w', 'briefing', 'Durbin', 'ill', 'like', 'rising']
Topic 11 : ['H', 'sullivanjj', 'Books', 'confirmed', 'arsenal', 'Ops', 'gov', 'dollars', '2009', 'com']
Topic 12 : ['Petraeus', 'John', 'Afghanistan', 'WFP', 'soldiers', 'Gates', 'called', 'right', 'Agency', 'written']
Topic 13 : ['Israel', 'Israeli', 'settlements', 'Afghan', 'time', 'U', 'settlement', 'peace', 'Obama', 'Palestinian']
Topic 14 : ['work', 'Haitian', 'people', 'e', 'Port', 'government', 'Haiti', 'Clinton', 'good', 'including']
Topic 15 : ['w', 'talk', 'Richards', 'tomorrow', 'know', 'u', 'secure', 'need', 'Let', '30']
Topic 16 : ['Woodward', 'yes', 'Iran', 'changed', 'Life', 'Netanyahu', 'polls', 'Bob', 'Karzai', 'word']
Topic 17 : ['30', '2', '1', '3', 'Secretary', 'Office', '00', '4', '8', '12']
Topic 18 : ['2010', 'H', 'gov', 'com', 'clintonemail', 'hrod17', 'party', 'December', 'Sunday', 'Huma']
Topic 19 : ['Bloomberg', 'Cheryl', 'Mills', 'MillsCD', 'gov', 'mins', 'Saturday', 'pat', 'copy', 'coming']
Topic 20 : ['reporting', 'notes', 'quick', 'cards', 'Haiti', 'dinner', 'march', 'wjc', 'U', 'usually']
Topic 21 : ['Lona', 'Assistant', 'Secretary', 'Valmoro', 'Special', 'direct', '647', '202', 'test', 'MS']
Topic 22 : ['Fyi', 'good', 'Verveer', 'Sounds', 'Karl', 'subsequently', 'Melanne', 'rescue', 'ok', 'Marine']
Topic 23 : ['QDDR', 'U', 'Pentagon', 'Tea', 'Beck', 'secret', 'Taliban', '202', 'military', 'Secretary']
Topic 24 : ['negotiating', 'anytime', 'Brief', 'language', 'disagreement', 'U', '2015', 'hear', 'sworn', 'tomorrow']
Topic 25 : ['percent', '2010', '1', 'voters', 'Palin', 'vote', 'picture', 'Republican', '2', 'poll']
Topic 26 : ['article', 'group', 'Iranian', 'research', 'election', 'brother', '1', 'think', 'truth', 'Robinson']
Topic 27 : ['funded', 'Waldorf', '1', 'prime', '2010', 'H', 'Sid', 'minister', 'beat', '2009']
Topic 28 : ['ops', 'Ron', 'schedule', 'connect', 'medium', 'San', 'PJ', 'btw', 'handle', 'Lowey']
Topic 29 : ['B6', 'RELEASE', 'B5', 'women', 'know', 'stay', 'Print', 'guess', 'Gore', 'yesterday']
Topic 30 : ['McChrystal', 'US', '2010', 'war', 'Prince', 'Kurdistan', 'government', 'American', 'Mr', 'g']
Topic 31 : ['Year', 'Tbd', 'Argentina', 'Happy', 'DOD', 'wear', 'know', 'Build', 'Tea', 'catch']
Topic 32 : ['Mr', 'nuclear', 'Iraq', 'START', 'missile', 'July', 'Clinton', 'Iraqi', 'Afghanistan', 'civilian']
Topic 33 : ['print', 'Pls', 'PIs', 'camera', 'Conflict', 'Original', 'images', 'Charles', 'seat', 'flow']
Topic 34 : ['FYI', 'email', '647', '202', 'cdm', 'assistance', 'immediate', 'need', 'Thank', 'reach']
Topic 35 : ['Thx', 'Kabul', 'company', 'went', 'know', 'gov', 'August', 'H', 'space', 'Huma']
Topic 36 : ['1', '4', 'B1', 'B', 'Declassify', '2010', 'B5', 'B6', 'RELEASE', 'Affairs']
Topic 37 : ['2010', 'Press', 'Sullivan', 'J', 'Clips', '03', 'gov', 'January', 'Jacob', 'SullivanJJ']
Topic 38 : ['Obama', 'U', 'Mr', 'American', 'president', 'like', 'House', 'White', 'treaty', 'people']
Topic 39 : ['Tea', 'healthcare', 'holiday', 'original', 'explained', 'assume', 'Party', 'institution', 'dozen', 'Haqqani']
Topic 40 : ['Women', 'transparency', 'deliver', 'letter', 'scheduled', 'United', 'Minister', 'Wikileaks', 'world', 'working']
