Topic 1 : ['13', 'memo', 'September', '2012', 'reax']
Topic 2 : ['Arab', '2015', 'flight', 'zone', 'Qaddafi']
Topic 3 : ['B6', 'Fyi', 'Americans', 'world', '2015']
Topic 4 : ['Qaddafi', 'Colonel', '2015', 'flight', 'zone']
Topic 5 : ['aiding', 'memo', 'docx', '030311', 'syria']
Topic 6 : ['2015', 'Tripoli', 'today', 'BENGHAZI', 'AGREEMENT']
Topic 7 : ['2015', '13', 'world', 'Americans', 'F']
Topic 8 : ['2015', 'Americans', 'world', 'Muslims', 'CNN']
Topic 9 : ['2015', 'Libyan', '13', 'COMM', '12']
Topic 10 : ['Libyan', '2015', 'rebel', 'rebels', 'SELECT']
Topic 11 : ['September', 'Wednesday', '2012', '12', '2015']
Topic 12 : ['troops', 'Libyan', '2015', 'rebel', 'DEPT']
Topic 13 : ['picture', 'effort', 'vicious', 'Egypt', 'real']
Topic 14 : ['2015', 'Qaddafi', 'zone', 'flight', 'Libyan']
Topic 15 : ['12', '2012', 'September', 'Wednesday', '4G']
Topic 16 : ['zone', 'flight', 'Colonel', 'Qaddafi', 'Arab']
Topic 17 : ['really', 'Libya', 'loss', 'man', 'moving']
Topic 18 : ['Fyi', 'Blog', 'Mohammed', 'Egypt', 'effort']
Topic 19 : ['note', 'Muslims', 'religion', 'Americans', '13']
Topic 20 : ['Fyi', 'Blog', 'Mohammed', 'Egypt', 'effort']
Topic 21 : ['flight', 'Qaddafi', '2015', 'zone', 'Colonel']
Topic 22 : ['Qaddafi', 'flight', 'Colonel', '2015', 'Arab']
Topic 23 : ['H', 'Syria', 'aiding', 'Qaddafi', 'March']
Topic 24 : ['Film', 'Sparked', 'Anti', 'Extremist', 'Deadly']
Topic 25 : ['today', '2015', 'svtc', 'Embassy', 'Tripoli']
Topic 26 : ['Fyi', 'FYI', 'note', 'effort', 'vicious']
Topic 27 : ['12', '37', 'com', 'sept', 'hrod17']
Topic 28 : ['troops', 'Libyan', '2015', 'rebel', 'rebels']
Topic 29 : ['aiding', '2011', 'March', '3', 'libya']
Topic 30 : ['2015', 'U', 'Muslims', 'Americans', 'religion']
Topic 31 : ['2015', 'SENSITIVE', 'U', '05', 'PRODUCED']
Topic 32 : ['2015', 'U', 'Fyi', '05', 'INFORMATION']
Topic 33 : ['2015', 'U', 'INFORMATION', '05', '13']
Topic 34 : ['flight', 'Arab', '2015', 'Qaddafi', 'zone']
Topic 35 : ['Libyan', 'rebel', '04841', 'FOIA', '2015']
Topic 36 : ['2015', 'zone', 'Colonel', 'flight', 'Qaddafi']
Topic 37 : ['Libyan', 'rebel', 'troops', '2015', 'French']
Topic 38 : ['2015', 'CNN', 'Americans', 'Muslims', 'world']
Topic 39 : ['12', 'Libya', 'B6', 'Sending', '6']
Topic 40 : ['H', 'aiding', 'Qaddafi', 'March', 'memo']
Topic 41 : ['12', 'Pis', 'FYI', 'print', 'Libya']
