Topic 1 : ['libya', 'aiding', 'syria', 'march']
Topic 2 : ['libyan', 'no.', 'troops', 'sensitive']
Topic 3 : ['knew', 'efforts', 'cnn', 'others.']
Topic 4 : ['libyan', 'rebel', 'troops', 'no.']
Topic 5 : ['redactions.', 'u.s.', 'no.', 'house']
Topic 6 : ['no.', 'sensitive', 'benghazi', 'foia']
Topic 7 : ['picture', 'no.', 'agreement', 'produced']
Topic 8 : ['extremist', 'meet', 'deadly', 'film']
Topic 9 : ['knew', 'efforts', 'cnn', 'others.']
Topic 10 : ['no-flight', 'no.', 'arab', 'colonel']
Topic 11 : ['no-flight', 'no.', 'colonel', 'zone']
Topic 12 : ['libyan', 'no.', 'rebel', 'troops']
Topic 13 : ['print.', 'pis', 'libyan', 'no.']
Topic 14 : ['note', 'others.', 'knew', 'cnn']
Topic 15 : ['fyi', 'no.', 'agreement', 'americans']
Topic 16 : ['b6', '2012', 'september', 'magariaf']
Topic 17 : ['libyan', 'troops', 'no.', 'rebel']
Topic 18 : ['knew', 'efforts', 'cnn', 'others.']
Topic 19 : ['no-flight', 'colonel', 'arab', 'no.']
Topic 20 : ['fyi', 'no.', 'agreement', 'produced']
Topic 21 : ['libya', 'no.', 'u.s.', '2012']
Topic 22 : ['no.', 'u.s.', 'produced', 'foia']
Topic 23 : ['no.', 'produced', 'dept.', 'agreement']
Topic 24 : ['no-flight', 'council', 'arab', 'no.']
Topic 25 : ['no.', 'no-flight', 'f-2015-04841', 'date:']
Topic 26 : ['no.', 'produced', 'c05739590', '05/13/2015']
Topic 27 : ['no.', 'produced', 'redactions.', 'dept.']
Topic 28 : ['no.', 'libyan', 'waiver.', '-']
Topic 29 : ['no.', 'sensitive', '&', 'waiver.']
Topic 30 : ['aiding', 'syria', 'qaddafi', 'hrc']
Topic 31 : ['troops', 'rebel', 'libyan', 'no.']
Topic 32 : ['knew', 'efforts', 'cnn', 'others.']
Topic 33 : ['syria', 'aiding', 'libya', 'fw:']
Topic 34 : ['troops', 'libyan', 'no.', 'rebel']
Topic 35 : ['libyan', 'rebel', 'troops', 'no.']
Topic 36 : ['2012', 'sparked', 'deadly', 'no.']
Topic 37 : ['syria', 'aiding', 'abedin', '1:36']
Topic 38 : ['libya', 'verizon', 'fwd:', 'druid']
Topic 39 : ['libyan', 'rebel', 'troops', 'no.']
Topic 40 : ['fyi', 'embassy', 'knew', 'others.']
Topic 41 : ['libya', 'lte', '4g', 'druid']
Topic 42 : ['knew', 'efforts', 'cnn', 'others.']
