Topic 1 : ['H', 'Syria', 'aiding', 'Qaddafi', 'March']
Topic 2 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 3 : ['Qaddafi', '2015', 'zone', 'Libyan', 'Colonel']
Topic 4 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 5 : ['12', '2012', 'September', 'reax', '13']
Topic 6 : ['aiding', 'H', 'March', 'docx', 'memo']
Topic 7 : ['Arab', 'zone', '2015', 'Colonel', 'flight']
Topic 8 : ['Flag', 'Follow', 'Libyan', '2015', 'troops']
Topic 9 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 10 : ['2015', 'zone', 'flight', 'Qaddafi', 'Doc']
Topic 11 : ['Libyan', 'troops', 'rebel', '2015', 'French']
Topic 12 : ['Libyan', '2015', 'troops', 'rebel', '05']
Topic 13 : ['Libyan', '2015', 'Qaddafi', 'DEPT', 'rebels']
Topic 14 : ['2015', '13', 'Doc', 'AGREEMENT', '04841']
Topic 15 : ['B6', 'Fyi', 'troops', 'Libyan', '2015']
Topic 16 : ['Qaddafi', 'flight', 'Arab', '2015', 'Colonel']
Topic 17 : ['12', '2012', 'Wednesday', '11', 'September']
Topic 18 : ['Muslims', 'U', 'Americans', 'world', '13']
Topic 19 : ['Libyan', 'Qaddafi', '2015', 'F', 'HOUSE']
Topic 20 : ['FYI', 'effort', 'Muslims', 'Egypt', 'real']
Topic 21 : ['2015', 'world', 'Americans', 'U', 'Doc']
Topic 22 : ['2015', 'Americans', 'CNN', 'U', 'Libya']
Topic 23 : ['Libyan', 'troops', '2015', 'rebel', 'French']
Topic 24 : ['Libyan', '2015', 'rebel', 'troops', 'SELECT']
Topic 25 : ['note', '12', '11', 'Wednesday', 'hrod17']
Topic 26 : ['picture', 'effort', 'vicious', 'Egypt', 'real']
Topic 27 : ['12', 'September', 'Wednesday', 'really', '2012']
Topic 28 : ['2015', 'Libyan', 'U', 'INFORMATION', 'SENSITIVE']
Topic 29 : ['2015', 'Americans', 'world', 'WAIVER', 'REDACTIONS']
Topic 30 : ['2015', 'Qaddafi', 'flight', 'zone', 'Libyan']
Topic 31 : ['12', 'Libya', 'direct', 'docx', 'B6']
Topic 32 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 33 : ['embassy', 'Pis', 'print', 'Yemen', 'effort']
Topic 34 : ['2015', 'U', 'F', 'DEPT', 'Doc']
Topic 35 : ['12', 'Libya', 'September', 'J', '2012']
Topic 36 : ['2015', 'Libyan', 'troops', 'Doc', 'WAIVER']
Topic 37 : ['030311', 'Qaddafi', 'aiding', 'libya', '2011']
Topic 38 : ['2015', 'world', 'U', 'Muslims', 'PRODUCED']
Topic 39 : ['2015', 'world', 'U', '13', 'COMM']
Topic 40 : ['2015', 'Colonel', 'flight', 'Qaddafi', 'U']
Topic 41 : ['Libyan', 'rebel', 'troops', '2015', 'Doc']
Topic 42 : ['Fyi', 'Blog', 'Mohammed', 'Egypt', 'effort']
Topic 43 : ['2015', '13', '05', 'PRODUCED', 'REDACTIONS']
