Topic 1 : ['aiding', 'syria', 'libya', 'memo']
Topic 2 : ['fyi', 'arab', 'sensitive', 'no.']
Topic 3 : ['libya', 'no.', 'b6', 'sept']
Topic 4 : ['libyan', 'really', 'rebel', 'troops']
Topic 5 : ['no.', 'doc', 'comm.', 'dept.']
Topic 6 : ['no.', 'u.s.', 'produced', 'information']
Topic 7 : ['recent', 'continuing', 'people', 'stories']
Topic 8 : ['syria', 'no.', 'aiding', '2011']
Topic 9 : ['syria', 'aiding', 'libya', 'no.']
Topic 10 : ['troops', 'no.', 'libyan', 'information']
Topic 11 : ['no.', 'no-flight', '-', 'sensitive']
Topic 12 : ['september', 'wednesday,', '12,', '2012']
Topic 13 : ['recent', 'continuing', 'people', 'stories']
Topic 14 : ['libya', 'fw:', 'wednesday,', 'sept']
Topic 15 : ['support', 'no-flight', 'arab', 'no.']
Topic 16 : ['no.', 'u.s.', 'house', 'select']
Topic 17 : ['no.', 'produced', 'sensitive', 'libya']
Topic 18 : ['libyan', 'no.', 'troops', 'sensitive']
Topic 19 : ['no.', 'no-flight', 'arab', 'colonel']
Topic 20 : ['no.', 'sensitive', 'u.s.', 'c05739590']
Topic 21 : ['libya', 'sept', '<', '12']
Topic 22 : ['recent', 'continuing', 'people', 'stories']
Topic 23 : ['no.', '2012', 'extremist', '12,']
Topic 24 : ['follow', 'reax', 'september', 'magariaf']
Topic 25 : ['no.', 'arab', 'colonel', 'zone']
Topic 26 : ['libyan', 'no.', 'u.s.', 'doc']
Topic 27 : ['colonel', 'no.', 'no-flight', 'waiver.']
Topic 28 : ['libyan', 'no.', 'troops', 'rebel']
Topic 29 : ['libya', 'sending', 'direct.', '12.docx']
Topic 30 : ['embassy', 'no.', 'libyan', 'colonel']
Topic 31 : ['no.', 'libyan', 'information', 'troops']
Topic 32 : ['recent', 'continuing', 'people', 'stories']
Topic 33 : ['fyi', 'no.', 'no-flight', 'foia']
Topic 34 : ['—', 'b6', 'fyi', 'libyan']
Topic 35 : ['troops', 'libyan', 'no.', 'rebel']
Topic 36 : ['recent', 'continuing', 'people', 'stories']
Topic 37 : ['no.', 'c05739590', 'comm.', '-']
Topic 38 : ['no-flight', 'no.', 'colonel', 'zone']
Topic 39 : ['libyan', 'no.', 'rebel', 'information']
Topic 40 : ['note', 'print.', 'pis', 'libyan']
Topic 41 : ['syria', 'aiding', 'march', 'sid']
Topic 42 : ['recent', 'continuing', 'people', 'stories']
Topic 43 : ['no.', 'u.s.', 'produced', 'agreement']
Topic 44 : ['recent', 'continuing', 'people', 'stories']
Topic 45 : ['no.', '05/13/2015', 'doc', 'produced']
