Topic 1 : ['12', 'September', '2012', 'docx', '13']
Topic 2 : ['Libyan', 'troops', '2015', 'rebel', 'U']
Topic 3 : ['Libyan', '2015', 'troops', 'rebel', 'rebels']
Topic 4 : ['12', 'direct', 'DRUID', '6', 'LTE']
Topic 5 : ['FYI', 'effort', 'Muslims', 'Egypt', 'real']
Topic 6 : ['Fyi', 'note', 'vicious', 'effort', 'Blog']
Topic 7 : ['Libyan', 'rebel', 'troops', '2015', 'rebels']
Topic 8 : ['2015', 'Qaddafi', 'Arab', 'Libyan', 'flight']
Topic 9 : ['zone', 'Colonel', 'flight', 'Arab', 'Qaddafi']
Topic 10 : ['2012', '2015', 'September', '11', 'Anti']
Topic 11 : ['2015', 'U', 'WAIVER', 'Doc', 'BENGHAZI']
Topic 12 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 13 : ['Libyan', '2015', 'troops', 'rebel', 'rebels']
Topic 14 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 15 : ['H', 'aiding', 'print', 'docx', 'clintonemail']
Topic 16 : ['Libyan', 'troops', 'rebel', '2015', 'DEPT']
Topic 17 : ['aiding', 'libya', '2011', '030311', 'docx']
Topic 18 : ['2015', 'U', 'Muslims', '13', 'world']
Topic 19 : ['today', '2015', 'svtc', 'Tripoli', 'Embassy']
Topic 20 : ['Libyan', '2015', '05', 'Qaddafi', 'troops']
Topic 21 : ['2015', '12', 'Wednesday', 'Deadly', 'Wing']
Topic 22 : ['Libyan', 'troops', '2015', 'rebel', '05']
Topic 23 : ['Libyan', 'picture', 'troops', 'rebel', '2015']
Topic 24 : ['troops', 'Libyan', '2015', 'rebel', '05']
Topic 25 : ['2015', 'Libyan', 'flight', 'Qaddafi', 'SENSITIVE']
Topic 26 : ['Yemen', 'embassy', '2015', 'Muslims', 'Americans']
Topic 27 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 28 : ['2015', 'U', 'world', 'PRODUCED', 'REDACTIONS']
Topic 29 : ['FYI', 'effort', 'Muslims', 'Egypt', 'real']
Topic 30 : ['flight', 'Arab', '2015', 'Qaddafi', 'Colonel']
Topic 31 : ['aiding', '3', 'March', 'hrc', 'syria']
Topic 32 : ['2015', 'Muslims', 'U', 'world', 'Americans']
Topic 33 : ['12', 'Syria', 'aiding', 'H', 'libya']
Topic 34 : ['J', 'Mills', '12', 'Jacob', 'Libya']
Topic 35 : ['B6', 'Fyi', '2015', 'rebel', 'Libyan']
Topic 36 : ['flight', 'zone', 'Arab', 'support', 'Qaddafi']
Topic 37 : ['aiding', 'Qaddafi', 'H', 'March', 'Abedin']
Topic 38 : ['zone', '2015', 'Colonel', 'flight', 'Arab']
Topic 39 : ['2015', 'Muslims', '13', 'CNN', 'U']
Topic 40 : ['2015', 'Arab', 'Qaddafi', 'zone', 'flight']
Topic 41 : ['2015', 'Qaddafi', 'zone', 'Libyan', 'Colonel']
Topic 42 : ['print', 'Pis', '2015', 'U', '05']
Topic 43 : ['2015', 'Libyan', 'Qaddafi', 'troops', 'SELECT']
Topic 44 : ['flight', 'Qaddafi', 'Colonel', 'zone', '2015']
Topic 45 : ['2015', 'Arab', 'support', 'flight', 'Qaddafi']
Topic 46 : ['12', 'really', 'Wednesday', 'Flag', 'Libya']
