Topic 1 : ['Follow', 'Flag', '2015', 'Muslims', 'Americans']
Topic 2 : ['2015', 'Colonel', 'flight', 'Doc', 'zone']
Topic 3 : ['Pis', 'print', '2015', 'world', 'Muslims']
Topic 4 : ['12', 'Libya', 'libya', 'H', 'com']
Topic 5 : ['Qaddafi', 'flight', 'zone', '2015', 'Colonel']
Topic 6 : ['Libyan', 'rebel', 'troops', '2015', '05']
Topic 7 : ['2015', 'Libyan', 'SENSITIVE', 'FOIA', 'DEPT']
Topic 8 : ['Libyan', 'troops', '2015', 'French', 'SENSITIVE']
Topic 9 : ['Libyan', 'rebel', 'troops', 'B6', 'Fyi']
Topic 10 : ['Libyan', '2015', 'troops', '05', 'F']
Topic 11 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 12 : ['rebel', 'troops', '2015', 'Libyan', 'rebels']
Topic 13 : ['Deadly', 'Anti', 'Wing', 'September', 'Extremist']
Topic 14 : ['12', 'Libya', 'H', 'libya', 'Pis']
Topic 15 : ['2015', 'Libyan', 'U', 'PRODUCED', 'BENGHAZI']
Topic 16 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 17 : ['aiding', 'March', '2011', 'memo', '030311']
Topic 18 : ['picture', '2015', 'Libyan', 'SELECT', 'rebels']
Topic 19 : ['FYI', '2015', 'Muslims', 'world', 'Americans']
Topic 20 : ['12', 'Libya', 'Wireless', 'LTE', 'Verizon']
Topic 21 : ['memo', '13', 'reax', 'September', '2012']
Topic 22 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 23 : ['2015', 'Right', '12', 'Riots', '11']
Topic 24 : ['embassy', 'Yemen', 'Blog', 'Egypt', 'effort']
Topic 25 : ['2015', 'flight', 'zone', 'Qaddafi', 'Arab']
Topic 26 : ['Qaddafi', 'H', 'aiding', 'flight', 'Colonel']
Topic 27 : ['Libyan', '2015', 'U', 'Libya', 'troops']
Topic 28 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 29 : ['2015', 'Americans', 'world', 'U', 'Muslims']
Topic 30 : ['Libyan', 'troops', 'rebel', '2015', 'DEPT']
Topic 31 : ['J', 'Libya', '2015', 'H', '12']
Topic 32 : ['2015', 'today', 'Tripoli', 'Embassy', 'svtc']
Topic 33 : ['FYI', '2015', 'flight', 'zone', 'Qaddafi']
Topic 34 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 35 : ['troops', 'Libyan', 'rebel', '2015', 'collapse']
Topic 36 : ['Libyan', '2015', 'Follow', 'Flag', 'flight']
Topic 37 : ['Arab', 'Qaddafi', 'zone', '2015', 'flight']
Topic 38 : ['Libyan', '2015', 'troops', 'rebel', 'rebels']
Topic 39 : ['aiding', '3', 'hrc', 'docx', 'libya']
Topic 40 : ['2015', 'troops', 'Libyan', 'INFORMATION', 'BENGHAZI']
Topic 41 : ['Blog', 'vicious', 'Egypt', 'effort', 'real']
Topic 42 : ['2015', 'Libyan', 'Qaddafi', 'zone', 'flight']
Topic 43 : ['12', 'B6', 'DRUID', 'Sending', '4G']
Topic 44 : ['2015', '13', 'U', 'AGREEMENT', 'F']
Topic 45 : ['2015', 'world', 'SENSITIVE', '13', 'U']
Topic 46 : ['H', 'Syria', 'aiding', 'clintonemail', 'Abedin']
Topic 47 : ['really', 'world', 'Libya', 'know', 'man']
