Topic 1 : ['aiding', 'syria', 'libya', 'march']
Topic 2 : ['recent', 'continuing', 'people', 'stories']
Topic 3 : ['recent', 'continuing', 'people', 'stories']
Topic 4 : ['recent', 'continuing', 'people', 'stories']
Topic 5 : ['recent', 'continuing', 'people', 'stories']
Topic 6 : ['no-flight', 'arab', 'no.', 'colonel']
Topic 7 : ['recent', 'continuing', 'people', 'stories']
Topic 8 : ['recent', 'continuing', 'people', 'stories']
Topic 9 : ['recent', 'continuing', 'people', 'stories']
Topic 10 : ['recent', 'continuing', 'people', 'stories']
Topic 11 : ['fyi', 'zone', 'arab', 'no.']
Topic 12 : ['no.', 'libyan', 'sensitive', 'date:']
Topic 13 : ['no.', "today's", 'produced', '-']
Topic 14 : ['libyan', 'troops', 'sensitive', 'rebel']
Topic 15 : ['no.', 'agreement', 'libyan', 'date:']
Topic 16 : ['no.', 'u.s.', 'produced', 'dept.']
Topic 17 : ['no.', 'u.s.', 'comm.', 'select']
Topic 18 : ['no.', '12,', 'u.s.', 'colonel']
Topic 19 : ['recent', 'continuing', 'people', 'stories']
Topic 20 : ['no.', 'no-flight', 'follow', 'colonel']
Topic 21 : ['produced', 'no.', 'house', 'u.s.']
Topic 22 : ['no.', 'produced', 'u.s.', 'sensitive']
Topic 23 : ['syria', 'aiding', 'march', 'libya']
Topic 24 : ['recent', 'continuing', 'people', 'stories']
Topic 25 : ['libyan', 'no.', 'aiding', 'syria']
Topic 26 : ['libya', '2012', 'september', 'b6']
Topic 27 : ['recent', 'continuing', 'people', 'stories']
Topic 28 : ['recent', 'continuing', 'people', 'stories']
Topic 29 : ['—', 'no.', 'u.s.', 'b6']
Topic 30 : ['no.', 'sensitive', 'f-2015-04841', 'produced']
Topic 31 : ['no.', 'libyan', 'agreement', 'troops']
Topic 32 : ['recent', 'continuing', 'people', 'stories']
Topic 33 : ['recent', 'continuing', 'people', 'stories']
Topic 34 : ['no-flight', 'no.', '05/13/2015', 'arab']
Topic 35 : ['libyan', 'no.', 'troops', 'select']
Topic 36 : ['no.', 'colonel', 'comm.', 'arab']
Topic 37 : ['libya', 'wednesday,', '12,', 'september']
Topic 38 : ['no.', 'produced', 'religious', 'u.s.']
Topic 39 : ['no-flight', 'arab', 'no.', 'international']
Topic 40 : ['libyan', 'picture', 'no.', 'troops']
Topic 41 : ['libyan', 'troops', 'rebel', 'no.']
Topic 42 : ['libyan', 'no.', 'troops', 'rebel']
Topic 43 : ['no.', 'libyan', 'rebel', 'sensitive']
Topic 44 : ['no.', 'produced', 'u.s.', 'religious']
Topic 45 : ['no.', 'u.s.', 'produced', 'religious']
Topic 46 : ['no.', 'produced', 'sensitive', 'religious']
Topic 47 : ['arab', 'no.', 'colonel', 'zone']
Topic 48 : ['libya', 'verizon', '6:16', 'direct.']
