Topic 1 : ['sparked', 'wednesday,', '12,', '2012']
Topic 2 : ['follow', 'flag', 'no.', 'libyan']
Topic 3 : ['no.', 'note', 'libyan', '&']
Topic 4 : ['no-flight', 'arab', 'no.', 'zone']
Topic 5 : ['no-flight', 'support', 'colonel', 'zone']
Topic 6 : ['no.', 'u.s.', 'sensitive', 'produced']
Topic 7 : ['recent', 'continuing', 'people', 'stories']
Topic 8 : ['libya', '12', 'wireless', '6:16']
Topic 9 : ['recent', 'continuing', 'people', 'stories']
Topic 10 : ['fyi', 'b6', 'libya', 'in.']
Topic 11 : ['no.', 'u.s.', 'produced', 'dept.']
Topic 12 : ['libyan', 'no.', 'troops', 'rebel']
Topic 13 : ['libya', '12,', 'september', '2012']
Topic 14 : ['syria', 'aiding', 'libya', 'sid']
Topic 15 : ['recent', 'continuing', 'people', 'stories']
Topic 16 : ['no.', 'libya', 'date:', "today's"]
Topic 17 : ['print.', 'pis', 'libyan', 'rebel']
Topic 18 : ['deadly', 'no.', 'sparked', '12,']
Topic 19 : ['libya', 'september', '2012', 'b6']
Topic 20 : ['libyan', 'no.', '-', 'information']
Topic 21 : ['recent', 'continuing', 'people', 'stories']
Topic 22 : ['libyan', 'troops', 'rebel', 'no.']
Topic 23 : ['no.', 'date:', 'no-flight', '05/13/2015']
Topic 24 : ['rebel', 'libyan', 'no.', 'french']
Topic 25 : ['no-flight', 'zone', 'arab', 'colonel']
Topic 26 : ['magariaf', '13,', '2012', 'reax']
Topic 27 : ['recent', 'continuing', 'people', 'stories']
Topic 28 : ['recent', 'continuing', 'people', 'stories']
Topic 29 : ['recent', 'continuing', 'people', 'stories']
Topic 30 : ['no.', '—', 'house', 'extremist']
Topic 31 : ['recent', 'continuing', 'people', 'stories']
Topic 32 : ['embassy', 'no.', 'u.s.', 'sensitive']
Topic 33 : ['recent', 'continuing', 'people', 'stories']
Topic 34 : ['no.', 'produced', 'sensitive', 'religious']
Topic 35 : ['aiding', 'syria', 'fyi', '11,']
Topic 36 : ['recent', 'continuing', 'people', 'stories']
Topic 37 : ['recent', 'continuing', 'people', 'stories']
Topic 38 : ['libya', 'libyan', 'no.', 'wednesday,']
Topic 39 : ['no.', 'colonel', 'arab', 'no-flight']
Topic 40 : ['no.', 'colonel', 'no-flight', 'arab']
Topic 41 : ['syria', 'aiding', 'libya', 'march']
Topic 42 : ['syria', 'aiding', 'pis', 'print.']
Topic 43 : ['recent', 'continuing', 'people', 'stories']
Topic 44 : ['recent', 'continuing', 'people', 'stories']
Topic 45 : ['recent', 'continuing', 'people', 'stories']
Topic 46 : ['picture', 'no.', 'produced', 'date:']
Topic 47 : ['no.', 'troops', 'libyan', 'rebel']
Topic 48 : ['libyan', 'follow', 'no.', 'troops']
Topic 49 : ['no.', 'troops', 'rebel', 'libyan']
