Topic 1 : ['email', 'Secretary', 'comments', 'Lona', 'Assistant']
Topic 2 : ['MOD', 'Lieberman', '1', 'Diplomacy', 'prefer']
Topic 3 : ['Huma', 'H', 'Prince', 'gov', 'Abedin']
Topic 4 : ['think', 'draft', 'w', 'copy', 'Thx']
Topic 5 : ['U', 'Arabs', 'government', 'hospital', 'Leslie']
Topic 6 : ['Richards', 'fyi', 'B5', 'calling', 'B6']
Topic 7 : ['w', 'need', 'night', 'want', 'work']
Topic 8 : ['B6', 'list', 'RELEASE', 'add', 'PIs']
Topic 9 : ['know', 'finds', 'going', 'note', 'hour']
Topic 10 : ['Ok', 'talk', 'w', 'Secretary', 'Richard']
Topic 11 : ['Pls', 'print', 'B1', 'PIs', 'Diplomacy']
Topic 12 : ['g', 'Cdm', 'images', 'pat', 'emails']
Topic 13 : ['FYI', 'Ed', 'Miliband', 'David', 'named']
Topic 14 : ['Germany', 'party', 'victory', 'Sounds', 'David']
Topic 15 : ['Israel', 'Israeli', 'settlements', 'settlement', 'Palestinian']
Topic 16 : ['Mr', 'PIH', 'FCO', 'Policy', 'Bob']
Topic 17 : ['QDDR', 'Iraq', 'policy', 'Iraqi', 'capital']
Topic 18 : ['doc', 'company', 'Dialogue', 'gender', 'sure']
Topic 19 : ['Mr', 'McChrystal', 'Afghanistan', 'Washington', 'government']
Topic 20 : ['u', 'Guards', 'Revolutionary', 'e', 'START']
Topic 21 : ['Sullivan', 'Kabul', 'J', 'Jacob', 'Clinton']
Topic 22 : ['Iran', 'Bloomberg', 'think', 'Iranian', 'US']
Topic 23 : ['Obama', 'Senate', 'care', 'health', 'Party']
Topic 24 : ['Mitchell', 'team', 'early', 'great', 'travels']
Topic 25 : ['647', '202', 'WFP', 'committee', 'Melanne']
Topic 26 : ['2010', 'gov', 'H', '1', '4']
Topic 27 : ['party', 'Obama', 'mayor', 'Party', 'book']
Topic 28 : ['Secretary', '30', '00', 'Office', 'w']
Topic 29 : ['happy', 'time', 'need', 'office', 'know']
Topic 30 : ['B', 'Kurdistan', 'Taliban', 'hikers', '4']
Topic 31 : ['2', '1', 'percent', 'opinion', '34']
Topic 32 : ['Airport', 'LaGuardia', 'York', 'National', 'Washington']
Topic 33 : ['Port', 'negotiating', 'humanitarian', 'Haitian', 'people']
Topic 34 : ['cloture', 'vote', 'Senate', 'cost', 'health']
Topic 35 : ['Ireland', '2002', 'space', '1995', 'AIPAC']
Topic 36 : ['Cameron', 'read', '2010', 'Mark', 'preines']
Topic 37 : ['Pentagon', 'Secretary', 'Walter', 'finish', 'Center']
Topic 38 : ['2010', 'gov', 'missile', 'Huma', 'Sullivan']
Topic 39 : ['vote', '1', 'yes', 'camera', 'Argentina']
Topic 40 : ['avoid', 'William', 'L', 'Alexander', 'Philip']
Topic 41 : ['Fyi', 'touch', 'plane', 'Thank', 'Joanne']
Topic 42 : ['Press', 'Strategic', 'Clips', '03', '2010']
Topic 43 : ['women', 'Afghan', 'Afghanistan', 'House', 'US']
Topic 44 : ['tomorrow', 'house', 'McConnell', 'prepare', 'confirm']
Topic 45 : ['Books', 'Russia', 'pressure', 'Start', 'enterprise']
Topic 46 : ['hrod17', 'H', 'clintonemail', 'com', '2010']
Topic 47 : ['later', 'Yes', 'Nation', 'Bauer', 'discuss']
Topic 48 : ['reasonable', 'ministers', 'way', 'claim', 'really']
Topic 49 : ['Air', 'Andrews', 'Force', 'Base', 'Airport']
Topic 50 : ['Obama', 'U', 'American', 'nuclear', 'United']
